code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1095/01210-623,BOBINA DE ENCENDIDO PGO COMET 50CC DZE,0,5718.050415,ELECTRICIDAD,,UNIVERSAL
1095/00470-591,BOBINA DE ENCENDIDO PUMITA DADALT APOLO,0,34689.718206,ELECTRICIDAD,,UNIVERSAL
1095/00480-591,BOBINA DE ENCENDIDO SIAM 125 APOLO,0,42895.762272,ELECTRICIDAD,,125
1095/00510-591,BOBINA DE ENCENDIDO SUZUKI AX 100 APOLO,0,30353.510781,ELECTRICIDAD,SUZUKI,100
1095/01144-623,BOBINA DE ENCENDIDO SUZUKI AX100 A CDI DZE,0,13904.737506,ELECTRICIDAD,SUZUKI,AX100
1095/01175-623,BOBINA DE ENCENDIDO SUZUKI TS100/125 DZE,0,5026.580064,ELECTRICIDAD,SUZUKI,125
1095/04081-623,BOBINA DE ENCENDIDO UNIV.110/125 COMPETICION A CDI DZE,0,24630.226632,ELECTRICIDAD,,110
1095/00580-591,BOBINA DE ENCENDIDO YAMAHA DT 125 ENC.ELEC. APOLO,0,30353.510781,ELECTRICIDAD,YAMAHA,125
1095/01201-623,BOBINA DE ENCENDIDO YAMAHA DT125 1994 A CDI DZE,0,13904.737506,ELECTRICIDAD,YAMAHA,UNIVERSAL
1095/00740-591,BOBINA DE ENCENDIDO ZAN. V3/DUE APOLO,0,34689.718206,ELECTRICIDAD,,UNIVERSAL
1095/00685-591,BOBINA DE ENCENDIDO ZANELLA ORIGINAL 1 SALIDA APOLO,0,54202.69572300001,ELECTRICIDAD,ZANELLA,UNIVERSAL
1095/01070-623,BOBINA DE ENCENDIDO ZANELLA V1/V2/V3 DZE,0,16631.081676,ELECTRICIDAD,ZANELLA,UNIVERSAL
1093/00010-591,BOBINA DE IGNICION 213 - 12 V ZANELLA SOL/FIRE APOLO,0,39202.951293,ELECTRICIDAD,ZANELLA,SOL
1099/10152-623,BOBINA DE IGNICION CICLOMOTOR ZANELLA VOL.MAG.ELEC DZE,0,32491.598931,ELECTRICIDAD,ZANELLA,UNIVERSAL
1093/00035-591,BOBINA DE IGNICION COMPETICION + CDI + KIT AX100 APOLO,0,121414.043124,ELECTRICIDAD,SUZUKI,AX100
1093/00030-038,BOBINA DE IGNICION DAELIM LIBERTY 50/XR 600 NSU,3.52708585018444,0,ELECTRICIDAD,,XR 50
1099/00030-591,BOBINA DE IGNICION ELECT.GARELLI-ZAN S/SENSOR 3-15 APOLO,0,55359.811584,ELECTRICIDAD,,UNIVERSAL
1099/00010-008,BOBINA DE IGNICION ELETRO  4 TERM ZAN NT/DUCATI CGC,21.53785865759652,0,ELECTRICIDAD,HONDA,CG
